,0
1295378,0
244364,0
34067,0
40222,0
1227,0
2034504,0
397268,0
445670,0
476278,0
1813600,0
1860077,0
90372,0
1031282,0
40751,0
1021,0
1930932,0
1934947,0
85072,0
85073,0
2018671,0
57488,0
13724,0
1047,0
127457,0
1056,0
85076,0
53392,0
53452,0
156885,0
85079,0
85074,0
212111,0
1907535,0
44937,0
393764,0
349742,0
1608298,0
1617886,0
1273155,0
1400859,0
221279,0
1400827,0
1511694,1
1759371,0
106633,3
1051,0
233099,0
154346,0
1765964,0
2212691,0
2212731,0
1030,0
45247,0
998014,0
437504,2
1929135,0
28884,1
2039723,0
933,0
364031,0
112008,0
582472,0
13275,1
869,1
1955421,0
2717,0
2035712,0
109262,0
2093740,0
904708,0
1744881,0
1692042,2
986106,1
28065,0
52972,0
747294,0
232523,0
283,0
1649468,0
2038733,0
2678886,0
201096,0
238749,0
12916,0
364316,0
352449,0
1434001,0
54066,0
281915,0
34072,0
433923,0
151754,0
174951,0
665874,0
219181,0
28219,0
198705,0
1940136,0
47420,0
2490452,0
360239,0
263066,0
183669,0
114248,0
335058,0
683756,0
65047,0
93681,0
644355,0
318147,0
212743,0
1114981,0
28067,0
36862,0
312063,0
391952,0
92793,0
34102,0
88,0
316612,0
1146865,0
2682247,0
196013,0
1649514,0
215579,0
2709671,0
32012,2
203697,0
1822464,0
2571160,0
32008,1
1827195,0
2571159,0
2718863,0
224135,0
1810868,0
2038280,0
93217,0
44013,0
106589,0
48736,0
75654,0
212744,0
1522432,0
29580,0
149698,0
963,0
202907,0
1229970,0
303379,0
223927,0
1344552,0
157932,0
2705466,0
401469,0
2249306,0
846,0
2109346,0
222,0
517,1
257820,0
1921582,0
1403714,0
305976,0
1477505,0
1148163,0
1074468,0
2017546,0
507,0
1100891,0
359336,0
90243,0
124224,0
1472344,0
106146,0
29574,0
290425,0
2678534,0
152267,0
1835332,0
131079,0
1910924,0
1911581,0
1980697,0
2494213,0
40544,0
577310,0
1918598,0
2041017,0
47670,0
2706000,0
33057,0
12960,0
551759,0
349,0
139331,0
203470,0
70774,0
392735,0
1769726,0
378210,0
1054211,0
1914449,0
1499082,0
311181,0
157591,0
146936,0
146935,0
146937,0
1911577,0
83766,0
1064,0
416212,0
482,0
194195,0
71,0
32257,0
334107,0
538,0
1193515,0
422440,0
59,0
535,0
407217,0
57739,0
397456,0
568394,0
400060,0
1654931,0
168470,0
57479,0
187,0
1649488,0
230666,0
400947,0
32014,0
551208,0
397275,0
885864,0
585890,0
1055692,0
300264,0
1433987,0
83764,0
240411,0
1433992,0
650341,0
914,0
35798,0
314343,0
453161,0
1443590,0
96,0
935200,0
2772198,0
1738658,0
1778653,0
919,0
1938335,0
359407,0
16,0
2676063,0
404,0
81682,0
1679002,0
2137425,0
33055,0
1381133,0
119977,1
119979,0
492233,0
377315,3
2045304,0
379,0
1525371,0
1903858,0
357,0
2040486,0
28105,0
106591,0
1612611,0
323620,0
13159,0
293088,0
274591,0
1915405,0
1649463,0
2661800,0
68287,0
31988,0
1763452,0
93368,0
449972,0
245876,0
610116,0
1840210,0
2769459,0
2024982,0
2282761,0
152180,0
1915401,0
1594166,0
