seq_id,genus_taxid
RS_GCF_000012745.1,919.0
RS_GCF_003967275.1,1938335.0
RS_GCF_000799735.1,359407.0
RS_GCF_000378225.1,16.0
RS_GCF_003730115.1,2676063.0
RS_GCF_900187985.1,404.0
RS_GCF_009858335.1,81682.0
RS_GCF_006365315.1,1679002.0
RS_GCF_003112435.1,2137425.0
RS_GCF_000340905.1,33055.0
RS_GCF_000441555.1,1381133.0
RS_GCF_009662475.1,119977.0
RS_GCF_000423825.1,119979.0
RS_GCF_001399755.1,492233.0
RS_GCF_003665155.1,377315.0
RS_GCF_000744415.1,2045304.0
RS_GCF_002211285.1,379.0
RS_GCF_000731315.1,1525371.0
RS_GCF_902502825.1,1903858.0
RS_GCF_002008225.1,357.0
RS_GCF_014197145.1,2040486.0
RS_GCF_013283645.1,28105.0
RS_GCF_900469625.1,106591.0
RS_GCF_001426565.1,1612611.0
RS_GCF_003432075.1,323620.0
RS_GCF_900220975.1,13159.0
RS_GCF_005924265.1,293088.0
RS_GCF_001011155.1,274591.0
RS_GCF_004354915.1,1915405.0
RS_GCF_900537175.1,1649463.0
RS_GCF_002750855.1,2661800.0
RS_GCF_006442815.1,68287.0
RS_GCF_014138625.1,31988.0
RS_GCF_014534685.1,1763452.0
RS_GCF_003590645.1,93368.0
RS_GCF_902809845.1,449972.0
RS_GCF_000300515.1,245876.0
RS_GCF_000497755.1,610116.0
GB_GCA_014652875.1,1840210.0
GB_GCA_014652835.1,2769459.0
RS_GCF_002238045.1,2024982.0
RS_GCF_002727065.1,2282761.0
RS_GCF_000374465.1,152180.0
RS_GCF_003149475.2,1915401.0
RS_GCF_013358405.1,1594166.0
RS_GCF_001463765.1,414371.0
RS_GCF_010500815.1,1775688.0
RS_GCF_000153705.1,217510.0
RS_GCF_000421645.1,182269.0
RS_GCF_002893625.1,2269381.0
RS_GCF_900167365.1,2036017.0
RS_GCF_001953055.1,2712688.0
RS_GCF_003574655.1,655352.0
RS_GCF_011058215.1,46913.0
RS_GCF_014083885.1,1827478.0
RS_GCF_003994485.1,1911566.0
RS_GCF_003992665.1,1082930.0
RS_GCF_004363175.1,623276.0
RS_GCF_000429865.1,1121251.0
RS_GCF_900102695.1,643217.0
RS_GCF_001404515.1,150830.0
RS_GCF_000382365.1,227873.0
RS_GCF_000192745.1,991903.0
RS_GCF_001310815.1,258255.0
RS_GCF_000423705.1,152161.0
RS_GCF_003432385.1,1406135.0
RS_GCF_003258835.1,34016.0
RS_GCF_003258595.1,1904377.0
RS_GCF_000374525.1,580880.0
RS_GCF_900148505.1,433838.0
RS_GCF_000425185.1,261933.0
RS_GCF_013839525.1,2027874.0
RS_GCF_013839445.1,1926253.0
RS_GCF_004362745.1,1920508.0
RS_GCF_001720135.1,1775716.0
RS_GCF_900231165.1,1572860.0
RS_GCF_004328075.1,2610842.0
RS_GCF_900129325.1,166953.0
RS_GCF_014199915.1,81894.0
RS_GCF_900104485.1,1145345.0
RS_GCF_000372825.1,407.0
RS_GCF_903644085.1,2026349.0
RS_GCF_000262405.1,186650.0
RS_GCF_000429045.1,690086.0
RS_GCF_011762225.1,1654719.0
RS_GCF_003201475.1,28209.0
RS_GCF_004342915.1,1017183.0
RS_GCF_900108245.1,85413.0
RS_GCF_000188155.2,133.0
RS_GCF_009936375.1,425.0
RS_GCF_002937075.1,168658.0
RS_GCF_901905185.1,120652.0
RS_GCF_000019845.1,532.0
RS_GCF_000385335.1,1143004.0
RS_GCF_004135935.1,1156568.0
RS_GCF_004137085.1,2723776.0
RS_GCF_009765995.1,1643958.0
RS_GCF_003004785.1,1502180.0
RS_GCF_008641065.1,2717339.0
RS_GCF_003008515.1,1632780.0
RS_GCF_002982075.1,204476.0
RS_GCF_001440415.1,374.0
RS_GCF_003226555.1,1073.0
RS_GCF_007018905.1,1395974.0
RS_GCF_002028545.1,911.0
RS_GCF_000314675.2,1033.0
RS_GCF_003367195.1,556257.0
RS_GCF_002119765.1,1734920.0
RS_GCF_003258805.1,29407.0
RS_GCF_002355335.1,1649510.0
RS_GCF_004346185.1,45402.0
RS_GCF_000010525.1,6.0
RS_GCF_012275355.1,279.0
RS_GCF_900100155.1,99.0
RS_GCF_000092925.1,152053.0
RS_GCF_014195655.1,204473.0
RS_GCF_008630065.1,59282.0
RS_GCF_004310425.1,444599.0
RS_GCF_002897035.1,61653.0
GB_GCA_014635245.1,1364858.0
RS_GCF_004346195.1,747074.0
RS_GCF_000496075.1,1358438.0
RS_GCF_000384335.2,81.0
RS_GCF_900104305.1,119044.0
RS_GCF_001723305.1,1484898.0
RS_GCF_001708935.1,1485594.0
RS_GCF_000166055.1,1068.0
RS_GCF_003550175.1,204474.0
RS_GCF_003234965.1,2650923.0
RS_GCF_005502925.1,169055.0
GB_GCA_900149695.1,444432.0
RS_GCF_000746275.1,1495041.0
RS_GCF_007474605.1,987053.0
RS_GCF_011762095.1,256616.0
RS_GCF_000739695.1,1742977.0
RS_GCF_000469155.1,2175151.0
RS_GCF_000689395.1,1541445.0
