accession,ncbi_taxid
RS_GCF_000507185.2,1420587
RS_GCF_900074915.1,1583341
RS_GCF_900103225.1,200452
RS_GCF_009176725.1,2609418
RS_GCF_001400735.1,46678
RS_GCF_002699855.1,47877
RS_GCF_000452745.2,1190415
RS_GCF_900143095.1,1190415
RS_GCF_001642795.1,33069
RS_GCF_002723575.1,33069
RS_GCF_003702045.1,33069
RS_GCF_002087235.1,1958950
RS_GCF_003935425.1,2479849
RS_GCF_003131185.1,1839709
RS_GCF_900589395.1,33069
RS_GCF_000829415.1,1028989
RS_GCF_003415775.1,36746
RS_GCF_900104015.1,36746
RS_GCF_003700275.1,36746
RS_GCF_000737245.1,317
RS_GCF_900590755.1,33069
GB_GCA_900475325.1,29443
RS_GCF_900601905.1,33069
RS_GCF_002699985.1,1718918
RS_GCF_900187575.1,2008911
RS_GCF_002158995.1,1451454
RS_GCF_900602065.1,33069
RS_GCF_900585905.1,33069
RS_GCF_000416235.1,911242
RS_GCF_001698815.1,317
GB_GCA_002338065.1,1947305
RS_GCF_009905615.1,2683259
RS_GCF_003052515.2,2202159
RS_GCF_900108875.1,1566248
RS_GCF_900100795.1,89065
RS_GCF_900110765.1,1566250
RS_GCF_002080045.1,1943632
RS_GCF_003605735.1,2315859
RS_GCF_002934685.1,2044872
GB_GCA_002419965.1,1947321
RS_GCF_004364435.1,2485137
RS_GCF_001705435.1,158627
RS_GCF_013201545.1,158627
RS_GCF_004364335.1,158627
RS_GCF_900111735.1,158627
RS_GCF_000759445.1,243924
RS_GCF_000263855.1,1179778
RS_GCF_000497835.1,1229486
RS_GCF_013374995.1,2599595
RS_GCF_000761155.1,216142
RS_GCF_900105555.1,1605838
RS_GCF_014235765.1,2762576
GB_GCA_900596015.1,1705700
GB_GCA_002379585.1,1947317
GB_GCA_903970465.1,1913989
RS_GCF_011355085.1,2609961
RS_GCF_009905435.1,2697566
GB_GCA_002386445.1,1947318
RS_GCF_012975065.1,2729423
RS_GCF_014269185.1,485876
RS_GCF_002165135.1,1986221
RS_GCF_001642705.1,1825979
RS_GCF_002113295.1,1981749
RS_GCF_009932335.1,2219225
RS_GCF_002113165.1,1981740
RS_GCF_900277125.1,2078786
RS_GCF_003331055.1,2259497
RS_GCF_000935045.1,1546029
RS_GCF_000730565.1,1215102
RS_GCF_002021815.1,157782
RS_GCF_000730645.1,1215114
RS_GCF_003627215.1,1736226
RS_GCF_000730605.1,1215110
RS_GCF_013393325.1,1247546
RS_GCF_003205205.1,2213079
RS_GCF_009932375.1,2666183
RS_GCF_003671955.1,303
RS_GCF_013179515.1,2738452
RS_GCF_000412675.1,1211579
RS_GCF_000708715.2,1449986
RS_GCF_000498395.2,1384061
RS_GCF_002356095.1,303
RS_GCF_000730665.1,1215115
RS_GCF_013373935.1,2740518
RS_GCF_000282535.1,1144340
RS_GCF_000019445.1,390235
RS_GCF_001320525.1,1661046
RS_GCF_000731675.1,1495066
RS_GCF_002736125.1,303
RS_GCF_001320245.1,1661039
RS_GCF_009391885.1,1366632
RS_GCF_002906855.1,303
RS_GCF_009883635.2,303
RS_GCF_002025705.1,303
RS_GCF_002112505.1,1981693
RS_GCF_003097235.1,1378075
GB_GCA_003428805.1,216778
RS_GCF_011752565.1,2608362
RS_GCF_001319945.1,76759
RS_GCF_007677725.1,1283291
RS_GCF_004357765.1,303
RS_GCF_005080685.1,303
RS_GCF_002741075.1,303
RS_GCF_900102675.1,1288410
RS_GCF_002094795.1,303
RS_GCF_000425785.1,1292030
RS_GCF_003205295.1,78327
RS_GCF_900110655.1,1306993
RS_GCF_000621225.1,1403339
RS_GCF_001259595.1,1478142
RS_GCF_000026105.1,384676
RS_GCF_004519305.1,2559075
RS_GCF_014268885.1,2745490
RS_GCF_003231305.1,2213015
RS_GCF_014268825.1,2745491
RS_GCF_011752525.1,2608360
RS_GCF_005796105.1,78327
RS_GCF_001636055.1,303
RS_GCF_014268975.1,485895
RS_GCF_000800255.1,157782
RS_GCF_002843585.1,2054914
RS_GCF_900536025.1,1785162
RS_GCF_014268815.1,2745493
RS_GCF_000425745.1,1215098
RS_GCF_000759535.1,157783
GB_GCA_002434265.1,1947332
RS_GCF_013523125.1,312306
RS_GCF_013523165.1,312306
RS_GCF_001534745.1,76759
RS_GCF_013523055.1,1495066
RS_GCF_902498185.1,294
RS_GCF_000319305.2,1005395
RS_GCF_001941965.1,303
RS_GCF_900188455.1,256466
GB_GCA_003523465.1,306
RS_GCF_003231275.1,2213017
RS_GCF_900187455.1,2008975
RS_GCF_000746525.1,237609
RS_GCF_003024385.1,2109731
RS_GCF_004025535.1,237609
RS_GCF_004353925.1,483968
RS_GCF_000955815.1,1619949
RS_GCF_000425805.1,1292031
RS_GCF_004803755.1,2320270
RS_GCF_000800615.1,303
RS_GCF_900497695.1,1785161
RS_GCF_000259195.1,1163398
RS_GCF_900101695.1,1855328
RS_GCF_004214895.1,2518644
RS_GCF_002806685.1,2056231
RS_GCF_010671725.1,2708063
RS_GCF_003105155.1,2170734
RS_GCF_002753995.1,2049589
RS_GCF_010671685.1,2364649
